0,TITLE,remote,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,DATE,20180316,START,51737,TIME,333,,,,,,,,,,,,,,,,,,,,,,,
0,TEMPERATURE,23,HUMIDITY,50,PRESSURE,1013.25,,,,,,,,,,,,,,,,,,,,,,,
0,HEADER,Order,1@,,,,,,,,,,,,,,,,,,,,,,,,,,
0,HEADER,UserGridCorrect Current file path,C:\SCAM\PRM\TFT100-0812.dat,,,,,,,,,,,,,,,,,,,,,,,,,,
0,HEADER,UserGridCorrect Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,DATA UNIT,µm,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,STANDARD COORDINATE,X,0,Y,0,A,0,X REVERSE,OFF,Y REVERSE,OFF,,,,,,,,,,,,,,,,,,
0,IMAGE AUTO SAVE,OperationMode=Auto,Status=Enabled,Path=C:\SCAM\image_auto_save\191a\20180316051737,,,,,,,,,,,,,,,,,,,,,,,,,
0,MACRO NAME,OperationMode=Auto,Path1=c:\scam\mac\camerachange.mac,Path2=c:\scam\mac\191a.mac,Path3=c:\scam\mac\over.mac,,,,,,,,,,,,,,,,,,,,,,,,
34,2,29,X,-11009.44358,-11010,3,-3,Y,16770.56345,16770,3,-3,D1,99.727302,0,0,0,D2,99.676869,0,0,0,Z,-31840.72,0,0,0,Feedback=4,TP6
35,2,29,X,-35809.94467,-35810,3,-3,Y,16770.14224,16770,3,-3,D1,99.698512,0,0,0,D2,99.658937,0,0,0,Z,-31844.4,0,0,0,Feedback=1,TP7
36,2,29,X,-440390.1798,-440390,3,-3,Y,16770.18013,16770,3,-3,D1,99.789327,0,0,0,D2,99.773212,0,0,0,Z,-31923.34,0,0,0,Feedback=1,TP9
37,2,29,X,-440391.1776,-440390,3,-3,Y,20470.34347,20470,3,-3,D1,99.678905,0,0,0,D2,99.728515,0,0,0,Z,-31923.34,0,0,0,Feedback=2,TP10
38,2,29,X,-35810.22692,-35810,3,-3,Y,20469.26103,20470,3,-3,D1,99.475768,0,0,0,D2,99.456806,0,0,0,Z,-31847.5,0,0,0,Feedback=2,TP12
39,2,29,X,-11010.38703,-11010,3,-3,Y,20469.60124,20470,3,-3,D1,99.408592,0,0,0,D2,99.538831,0,0,0,Z,-31844.58,0,0,0,Feedback=3,TP13
40,2,29,X,441390.8267,441390,3,-3,Y,20469.51816,20470,3,-3,D1,99.648965,0,0,0,D2,99.658764,0,0,0,Z,-31925.26,0,0,0,Feedback=3,TP15
41,2,29,X,441391.3275,441390,3,-3,Y,355169.935,355170,3,-3,D1,99.443214,0,0,0,D2,99.437505,0,0,0,Z,-31947.72,0,0,0,Feedback=3,TP16
42,2,29,X,-11009.42999,-11010,3,-3,Y,355170.968,355170,3,-3,D1,99.687221,0,0,0,D2,99.688719,0,0,0,Z,-31923.14,0,0,0,Feedback=3,TP18
43,2,29,X,-35809.58243,-35810,3,-3,Y,355170.5244,355170,3,-3,D1,99.563054,0,0,0,D2,99.510213,0,0,0,Z,-31925.92,0,0,0,Feedback=2,TP19
44,2,29,X,-440390.1386,-440390,3,-3,Y,355170.6083,355170,3,-3,D1,100.028003,0,0,0,D2,100.029726,0,0,0,Z,-31905.54,0,0,0,Feedback=2,TP20
45,1,606,X,-1460358.039,0,0,0,Y,492379.9394,0,0,0,A,89.934733,0,0,0,OVER,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Add Info.],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP1,TP_DX,-2.064655,TP_DY,-0.375252,,,,,,,,,,,,,,,,,,,,,,,,,
TP2,TP_DX,-0.498192,TP_DY,-2.608742,,,,,,,,,,,,,,,,,,,,,,,,,
TP3,TP_DX,-0.880726,TP_DY,-2.444409,,,,,,,,,,,,,,,,,,,,,,,,,
TP4,TP_DX,1.034263,TP_DY,-1.150477,,,,,,,,,,,,,,,,,,,,,,,,,
TP5,TP_DX,0.939417,TP_DY,-0.794683,,,,,,,,,,,,,,,,,,,,,,,,,
TP6,TP_DX,0.556421,TP_DY,0.563446,,,,,,,,,,,,,,,,,,,,,,,,,
TP7,TP_DX,0.055332,TP_DY,0.142237,,,,,,,,,,,,,,,,,,,,,,,,,
TP8,TP_DX,-0.179764,TP_DY,0.18013,,,,,,,,,,,,,,,,,,,,,,,,,
TP9,TP_DX,-1.177579,TP_DY,0.343474,,,,,,,,,,,,,,,,,,,,,,,,,
TP10,TP_DX,-0.226917,TP_DY,-0.738972,,,,,,,,,,,,,,,,,,,,,,,,,
TP11,TP_DX,-0.387027,TP_DY,-0.398765,,,,,,,,,,,,,,,,,,,,,,,,,
TP12,TP_DX,0.826703,TP_DY,-0.481845,,,,,,,,,,,,,,,,,,,,,,,,,
TP13,TP_DX,1.32745,TP_DY,-0.065028,,,,,,,,,,,,,,,,,,,,,,,,,
TP14,TP_DX,0.570014,TP_DY,0.968009,,,,,,,,,,,,,,,,,,,,,,,,,
TP15,TP_DX,0.417572,TP_DY,0.524436,,,,,,,,,,,,,,,,,,,,,,,,,
TP16,TP_DX,-0.138572,TP_DY,0.608298,,,,,,,,,,,,,,,,,,,,,,,,,
TP17,TP_DX,,TP_DY,,,,,,,,,,,,,,,,,,,,,,,,,,
TP18,TP_DX,,TP_DY,,,,,,,,,,,,,,,,,,,,,,,,,,
TP19,TP_DX,,TP_DY,,,,,,,,,,,,,,,,,,,,,,,,,,
TP20,TP_DX,,TP_DY,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_DS_Delta30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
